Crop_Name,Season,Shop_Cost,Base_Price,Gold_Price,Avg_Yield,Jar_able,Jarred_Price,Growth_Time,Regrowth,Regrowth_Time,Total_Harvests,Season_Yield,Base_Revenue,Base_Profit,Artisan_Profit,Base_ROI,Artisan_ROI,Processing_Impact
Parsnip,Spring,20.0,35,52,1.0,True,120.0,4,False,,7.0,7.0,245.0,225.0,820.0,1125.0,4100.0,3.6444444444444444
Green Bean,Spring,60.0,40,60,1.0,True,130.0,10,True,3.0,7.0,7.0,280.0,220.0,850.0,366.66666666666663,1416.6666666666665,3.8636363636363638
Cauliflower,Spring,80.0,175,262,1.0,True,400.0,12,False,,2.0,2.0,350.0,270.0,720.0,337.5,900.0,2.6666666666666665
Potato,Spring,50.0,80,120,1.25,True,210.0,6,False,,4.0,5.0,400.0,350.0,1000.0,700.0,2000.0,2.857142857142857
Tulip,Spring,20.0,30,45,1.0,False,,6,False,,4.0,4.0,120.0,100.0,,500.0,,
Kale,Spring,70.0,110,165,1.0,True,280.0,6,False,,4.0,4.0,440.0,370.0,1050.0,528.5714285714286,1500.0,2.8378378378378377
Blue Jazz,Spring,30.0,50,75,1.0,False,,7,False,,4.0,4.0,200.0,170.0,,566.6666666666667,,
Garlic,Spring,40.0,60,90,1.0,True,170.0,4,False,,7.0,7.0,420.0,380.0,1150.0,950.0,2875.0,3.026315789473684
Rhubarb,Spring,100.0,220,330,1.0,True,550.0,13,False,,2.0,2.0,440.0,340.0,1000.0,340.0,1000.0,2.9411764705882355
Strawberry,Spring,100.0,120,180,1.0,True,290.0,8,True,4.0,6.0,6.0,720.0,620.0,1640.0,620.0,1639.9999999999998,2.6451612903225805
Coffee Bean,Spring,2500.0,15,22,4.0,False,,10,True,2.0,10.0,40.0,600.0,-1900.0,,-76.0,,
Unmilled Rice,Spring,40.0,30,45,1.0,False,,6,False,,4.0,4.0,120.0,80.0,,200.0,,
Carrot,Spring,,35,52,1.0,False,,3,False,,9.0,9.0,315.0,,,,,
Blueberry,Summer,80.0,50,75,3.0,True,150.0,13,True,4.0,4.0,12.0,600.0,520.0,1720.0,650.0,2150.0,3.3076923076923075
Corn,Summer,150.0,50,75,1.0,True,150.0,14,True,4.0,4.0,4.0,200.0,50.0,450.0,33.33333333333333,300.0,9.0
Hops,Summer,60.0,25,37,1.0,False,,11,True,1.0,18.0,18.0,450.0,390.0,,650.0,,
Hot Pepper,Summer,40.0,40,60,1.0,True,130.0,5,True,3.0,8.0,8.0,320.0,280.0,1000.0,700.0,2500.0,3.5714285714285716
Melon,Summer,80.0,250,375,1.0,True,550.0,12,False,,2.0,2.0,500.0,420.0,1020.0,525.0,1275.0,2.4285714285714284
Poppy,Summer,100.0,140,210,1.0,False,,7,False,,4.0,4.0,560.0,460.0,,459.99999999999994,,
Radish,Summer,40.0,90,135,1.0,True,210.0,6,False,,4.0,4.0,360.0,320.0,800.0,800.0,2000.0,2.5
Red Cabbage,Summer,100.0,260,390,1.0,True,570.0,9,False,,3.0,3.0,780.0,680.0,1610.0,680.0,1610.0000000000002,2.3676470588235294
Starfruit,Summer,400.0,750,1125,1.0,True,1550.0,13,False,,2.0,2.0,1500.0,1100.0,2700.0,275.0,675.0,2.4545454545454546
Summer Spangle,Summer,50.0,90,135,1.0,False,,8,False,,3.0,3.0,270.0,220.0,,440.00000000000006,,
Sunflower,Summer,200.0,80,120,1.0,True,260.0,8,False,,3.0,3.0,240.0,40.0,580.0,20.0,290.0,14.5
Tomato,Summer,50.0,60,90,1.0,True,150.0,11,True,4.0,5.0,5.0,300.0,250.0,700.0,500.0,1400.0,2.8
Wheat,Summer,10.0,25,37,1.0,True,100.0,4,False,,7.0,7.0,175.0,165.0,690.0,1650.0,6900.0,4.181818181818182
Amaranth,Fall,70.0,150,225,1.0,True,350.0,7,False,,4.0,4.0,600.0,530.0,1330.0,757.1428571428571,1900.0,2.509433962264151
Artichoke,Fall,30.0,160,240,1.0,True,400.0,8,False,,3.0,3.0,480.0,450.0,1170.0,1500.0,3900.0,2.6
Beet,Fall,20.0,100,150,1.0,True,250.0,6,False,,4.0,4.0,400.0,380.0,980.0,1900.0,4900.0,2.5789473684210527
Bok Choy,Fall,50.0,80,120,1.0,True,210.0,4,False,,7.0,7.0,560.0,510.0,1420.0,1019.9999999999999,2840.0,2.784313725490196
Corn,Fall,150.0,50,75,1.0,True,150.0,14,True,4.0,4.0,4.0,200.0,50.0,450.0,33.33333333333333,300.0,9.0
Cranberries,Fall,240.0,75,112,2.0,True,200.0,7,True,5.0,5.0,10.0,750.0,510.0,1760.0,212.5,733.3333333333333,3.450980392156863
Eggplant,Fall,20.0,60,90,1.0,True,170.0,5,True,5.0,5.0,5.0,300.0,280.0,830.0,1400.0,4150.0,2.9642857142857144
Fairy Rose,Fall,200.0,290,435,1.0,False,,12,False,,2.0,2.0,580.0,380.0,,190.0,,
Grape,Fall,60.0,80,120,1.0,True,210.0,10,True,3.0,7.0,7.0,560.0,500.0,1410.0,833.3333333333334,2350.0,2.82
Pumpkin,Fall,100.0,320,480,1.0,True,690.0,13,False,,2.0,2.0,640.0,540.0,1280.0,540.0,1280.0,2.3703703703703702
Sunflower,Fall,200.0,80,120,1.0,True,260.0,8,False,,3.0,3.0,240.0,40.0,580.0,20.0,290.0,14.5
Sweet Gem Berry,Fall,1000.0,3000,4500,1.0,False,,24,False,,1.0,1.0,3000.0,2000.0,,200.0,,
Yam,Fall,60.0,160,240,1.0,True,370.0,10,False,,2.0,2.0,320.0,260.0,680.0,433.3333333333333,1133.3333333333335,2.6153846153846154
